Recording filename,DIV group,Genotype
20230208_P3_DIV14(000)_A1,14,WT
20230208_P3_DIV14(000)_B1,14,WT
20230208_P3_DIV21(000)_A1,21,WT
20230208_P3_DIV21(000)_B1,21,WT
20230208_P3_DIV28(000)_A1,28,WT
20230208_P3_DIV28(000)_B1,28,WT
20230208_P3_DIV35(000)_A1,35,WT
20230208_P3_DIV35(000)_B1,35,WT
20230208_P3_DIV42(000)_A1,42,WT
20230208_P3_DIV42(000)_B1,42,WT
20230208_P5_DIV14(000)_A2,14,WT
20230208_P5_DIV14(000)_A3,14,WT
20230208_P5_DIV14(000)_B2,14,WT
20230208_P5_DIV21(000)_A2,21,WT
20230208_P5_DIV21(000)_A3,21,WT
20230208_P5_DIV21(000)_B2,21,WT
20230208_P5_DIV28(000)_A2,28,WT
20230208_P5_DIV28(000)_A3,28,WT
20230208_P5_DIV28(000)_B2,28,WT
20230208_P5_DIV35(000)_A2,35,WT
20230208_P5_DIV35(000)_A3,35,WT
20230208_P5_DIV35(000)_B2,35,WT
20230208_P5_DIV42(000)_A2,42,WT
20230208_P5_DIV42(000)_A3,42,WT
20230208_P5_DIV42(000)_B2,42,WT
20230208_P4_DIV14(000)_A2,14,WT
20230208_P4_DIV14(000)_B2,14,WT
20230208_P4_DIV14(000)_B3,14,WT
20230208_P4_DIV21(000)_A2,21,WT
20230208_P4_DIV21(000)_B2,21,WT
20230208_P4_DIV21(000)_B3,21,WT
20230208_P4_DIV28(000)_A2,28,WT
20230208_P4_DIV28(000)_B2,28,WT
20230208_P4_DIV28(000)_B3,28,WT
20230208_P4_DIV35(000)_A2,35,WT
20230208_P4_DIV35(000)_B2,35,WT
20230208_P4_DIV35(000)_B3,35,WT
20230208_P4_DIV42(000)_A2,42,WT
20230208_P4_DIV42(000)_B2,42,WT
20230208_P4_DIV42(000)_B3,42,WT
